Sendung,Datum,Titel,Name,Profession,Nationalität,Perspektive_Identität,Geschlecht
Markus Lanz,17.10.23,NA ,Golineh Atai,Medien,deutsch,iranisch,Frau
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Guido Steinberg,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Guido Steinberg,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,30.11.23,NA,Guido Steinberg,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,16.11.23,NA,Hanna Veiler,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,18.10.23,NA ,Hasnain Kazim,Medien,deutsch,pakistanisch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Hoda Salah,Wissenschaft,ägyptisch,ägyptisch,Frau
Markus Lanz,16.11.23,NA,Ivar Buterfas-Frankenthal,Zivilgesellschaft,deutsch,jüdisch,Mann
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Jenny Havemann,Zivilgesellschaft,deutsch,jüdisch,Frau
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Jenny Havemann,Zivilgesellschaft,israelisch,jüdisch,Frau
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Jens Spahn,Politik,deutsch,deutsch,Mann
Markus Lanz,09.11.23,NA,Jens Spahn,Politik,deutsch,deutsch,Mann
Maybrit Illner,26.10.23,Krieg in Nahost – Gefahr für die Welt? ,Joachim Gauck,Zivilgesellschaft,deutsch,deutsch,Mann
Markus Lanz,31.10.23,NA ,Johannes Vogel,Politik,deutsch,deutsch,Mann
Markus Lanz,30.11.23,NA,Jürgen Trittin,Politik,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Kai Wegner,Politik,deutsch,deutsch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Katrin Eigendorf,Medien,deutsch,deutsch,Frau
Markus Lanz,19.10.23,NA ,Katrin Eigendorf,Medien,deutsch,deutsch,Frau
Markus Lanz,07.11.23,NA,Kerstin Münstermann,Medien,deutsch,deutsch,Frau
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Kevin Kühnert,Politik,deutsch,deutsch,Mann
Markus Lanz,10.10.23,NA ,Kevin Kühnert,Politik,deutsch,deutsch,Mann
Markus Lanz,15.11.23,NA,Khola Maryam Hübsch,Medien,deutsch,deutsch,Frau
