Sendung,Datum,Titel,Name,Profession,Nationalität,Perspektive_Identität,Geschlecht
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,deutsch,palestinänsisch,Mann
Markus Lanz,11.10.23,NA ,Ahmad Mansour,Zivilgesellschaft,israelisch,palestinänsisch,Mann
Markus Lanz,11.10.23,NA ,Florence Gaub,Wissenschaft,deutsch,deutsch,Frau
Markus Lanz,11.10.23,NA ,Michael Roth,Politik,deutsch,deutsch,Mann
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Deborah Feldman,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,11.10.23,NA ,Elmar Theveßen,Medien,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Kai Wegner,Politik,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Melanie Amann,Medien,deutsch,deutsch,Frau
Markus Lanz,17.10.23,NA ,Golineh Atai,Medien,deutsch,iranisch,Frau
Markus Lanz,17.10.23,NA ,Guido Steinberg,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,17.10.23,NA ,Anna Staroselski,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,18.10.23,NA ,Michael Bewerunge,Medien,deutsch,deutsch,Mann
Markus Lanz,18.10.23,NA ,Roderich Kiesewetter,Politik,deutsch,deutsch,Mann
Markus Lanz,18.10.23,NA ,Kristin Helberg,Medien,deutsch,deutsch,Frau
Markus Lanz,18.10.23,NA ,Hasnain Kazim,Medien,deutsch,pakistanisch,Mann
Markus Lanz,18.10.23,NA ,Gerhard Condra,Zivilgesellschaft,deutsch,deutsch,Mann
Markus Lanz,19.10.23,NA ,Gili Roman,Zivilgesellschaft,israelisch,jüdisch,Mann
Markus Lanz,19.10.23,NA ,Katrin Eigendorf,Medien,deutsch,deutsch,Frau
Markus Lanz,19.10.23,NA ,Marie-Agnes Strack-Zimmermann,Politik,deutsch,deutsch,Frau
Markus Lanz,19.10.23,NA ,Sönke Neitzel,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,19.10.23,NA ,Andreas Reinicke,Zivilgesellschaft,deutsch,deutsch,Mann
Markus Lanz,31.10.23,NA ,Johannes Vogel,Politik,deutsch,deutsch,Mann
Markus Lanz,31.10.23,NA ,Michael Wolffson,Medien,israelisch,jüdisch,Mann
Markus Lanz,31.10.23,NA ,Michael Wolffson,Medien,deutsch,jüdisch,Mann
Markus Lanz,31.10.23,NA ,Gilda Sahebi,Medien,deutsch,iranisch,Frau
Markus Lanz,01.11.23,NA ,Robert Habeck,Politik,deutsch,deutsch,Mann
Markus Lanz,01.11.23,NA ,Deborah Feldman,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,01.11.23,NA ,Deborah Feldman,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,01.11.23,NA ,Florence Gaub,Wissenschaft,deutsch,deutsch,Frau
Markus Lanz,01.11.23,NA ,Giovanni di Lorenzo,Medien,deutsch,deutsch,Mann
Markus Lanz,01.11.23,NA ,Giovanni di Lorenzo,Medien,italienisch,deutsch,Mann
